param_seed,config_idx,blocked_idx,blocked_edge,flow_blocked,outcome,worst_gap,elapsed_s
19,18,8,"(3, 4)",2,eulerian,0.0,0.007
19,18,11,"(4, 5)",2,eulerian,0.0,0.007
19,18,13,"(6, 7)",3,eulerian,0.0,0.029
19,18,14,"(6, 9)",-3,eulerian,0.0,0.01
19,18,16,"(7, 8)",5,eulerian,0.0,0.008
19,18,17,"(7, 10)",-2,eulerian,0.0,0.009
19,18,18,"(8, 9)",4,eulerian,0.0,0.035
19,18,19,"(8, 11)",-1,eulerian,0.0,0.006
19,18,20,"(9, 10)",1,eulerian,0.0,0.006
19,18,21,"(10, 11)",-1,eulerian,0.0,0.007
20,19,0,"(0, 1)",-2,eulerian,0.0,0.009
20,19,1,"(0, 11)",2,eulerian,0.0,0.009
20,19,3,"(1, 3)",-4,eulerian,0.0,0.025
20,19,4,"(1, 5)",2,eulerian,0.0,0.017
20,19,5,"(2, 3)",1,eulerian,0.0,0.025
20,19,6,"(2, 8)",4,eulerian,0.0,0.025
20,19,7,"(2, 11)",-5,eulerian,0.0,0.043
20,19,8,"(3, 4)",-1,eulerian,0.0,0.015
20,19,10,"(3, 8)",-2,eulerian,0.0,0.026
20,19,11,"(4, 5)",-1,eulerian,0.0,0.015
20,19,12,"(5, 6)",1,eulerian,0.0,0.006
20,19,13,"(6, 7)",-1,eulerian,0.0,0.006
20,19,14,"(6, 9)",2,eulerian,0.0,0.01
20,19,16,"(7, 8)",-2,eulerian,0.0,0.033
20,19,17,"(7, 10)",1,eulerian,0.0,0.007
20,19,20,"(9, 10)",2,eulerian,0.0,0.012
20,19,21,"(10, 11)",3,eulerian,0.0,0.036
21,20,0,"(0, 1)",2,eulerian,0.0,0.009
21,20,1,"(0, 11)",-2,eulerian,0.0,0.009
21,20,2,"(1, 2)",2,eulerian,0.0,0.006
21,20,5,"(2, 3)",-2,eulerian,0.0,0.007
21,20,6,"(2, 8)",-2,eulerian,0.0,0.007
21,20,7,"(2, 11)",6,eulerian,0.0,0.029
21,20,8,"(3, 4)",-2,eulerian,0.0,0.006
21,20,11,"(4, 5)",-2,eulerian,0.0,0.006
21,20,12,"(5, 6)",-2,eulerian,0.0,0.031
21,20,14,"(6, 9)",-2,eulerian,0.0,0.031
21,20,16,"(7, 8)",2,eulerian,0.0,0.015
21,20,17,"(7, 10)",-2,eulerian,0.0,0.009
21,20,18,"(8, 9)",2,eulerian,0.0,0.027
21,20,19,"(8, 11)",-2,eulerian,0.0,0.011
21,20,21,"(10, 11)",-2,eulerian,0.0,0.036
22,21,0,"(0, 1)",2,eulerian,0.0,0.01
22,21,1,"(0, 11)",-2,eulerian,0.0,0.01
22,21,2,"(1, 2)",-2,eulerian,0.0,0.007
22,21,3,"(1, 3)",4,eulerian,0.0,0.014
22,21,5,"(2, 3)",-1,eulerian,0.0,0.006
22,21,7,"(2, 11)",-1,eulerian,0.0,0.006
22,21,8,"(3, 4)",2,eulerian,0.0,0.007
22,21,10,"(3, 8)",1,eulerian,0.0,0.025
22,21,11,"(4, 5)",2,eulerian,0.0,0.007
22,21,12,"(5, 6)",2,eulerian,0.0,0.023
22,21,13,"(6, 7)",-2,eulerian,0.0,0.026
22,21,14,"(6, 9)",4,eulerian,0.0,0.01
22,21,16,"(7, 8)",-2,eulerian,0.0,0.031
22,21,18,"(8, 9)",-1,eulerian,0.0,0.027
22,21,20,"(9, 10)",3,eulerian,0.0,0.03
22,21,21,"(10, 11)",3,eulerian,0.0,0.038
23,22,0,"(0, 1)",-3,eulerian,0.0,0.011
23,22,1,"(0, 11)",3,eulerian,0.0,0.009
23,22,4,"(1, 5)",-3,eulerian,0.0,0.022
23,22,5,"(2, 3)",2,eulerian,0.0,0.008
23,22,6,"(2, 8)",3,eulerian,0.0,0.013
23,22,7,"(2, 11)",-5,eulerian,0.0,0.036
23,22,8,"(3, 4)",2,eulerian,0.0,0.008
23,22,11,"(4, 5)",2,eulerian,0.0,0.008
23,22,12,"(5, 6)",-1,eulerian,0.0,0.006
23,22,13,"(6, 7)",-2,eulerian,0.0,0.026
23,22,14,"(6, 9)",1,eulerian,0.0,0.007
23,22,16,"(7, 8)",-2,eulerian,0.0,0.032
23,22,18,"(8, 9)",1,eulerian,0.0,0.013
23,22,20,"(9, 10)",2,eulerian,0.0,0.012
23,22,21,"(10, 11)",2,eulerian,0.0,0.024
25,23,0,"(0, 1)",-3,eulerian,0.0,0.01
25,23,1,"(0, 11)",3,eulerian,0.0,0.009
25,23,2,"(1, 2)",-2,eulerian,0.0,0.007
